geschlecht,alter,gemeinde_groesse,bezirk_name,antwort
weiblich,30 bis 34,10001 bis 20000,Hinwil,eher zu hoch
männlich,55 bis 59,20001 bis 50000,Uster,eher zu hoch
weiblich,65 bis 69,Zürich,Zürich,gerade angemessen
weiblich,55 bis 59,<1000,Winterthur,gerade angemessen
männlich,55 bis 59,10001 bis 20000,Meilen,gerade angemessen
weiblich,25 bis 29,20001 bis 50000,Horgen,gerade angemessen
männlich,55 bis 59,20001 bis 50000,Bülach,viel zu hoch
männlich,80+,<1000,Andelfingen,viel zu tief
weiblich,75 bis 79,10001 bis 20000,Meilen,eher zu tief
männlich,55 bis 59,<1000,Andelfingen,eher zu hoch
weiblich,25 bis 29,1001 bis 2000,Dielsdorf,eher zu hoch
männlich,50 bis 54,Zürich,Zürich,gerade angemessen
männlich,75 bis 79,2001 bis 5000,Andelfingen,gerade angemessen
männlich,70 bis 74,2001 bis 5000,Uster,eher zu hoch
männlich,50 bis 54,5001 bis 10000,Pfäffikon,eher zu hoch
weiblich,75 bis 79,5001 bis 10000,Bülach,eher zu hoch
weiblich,65 bis 69,5001 bis 10000,Meilen,gerade angemessen
männlich,25 bis 29,Zürich,Zürich,eher zu hoch
männlich,60 bis 64,10001 bis 20000,Bülach,eher zu hoch
weiblich,25 bis 29,20001 bis 50000,Uster,gerade angemessen
männlich,40 bis 44,5001 bis 10000,Horgen,gerade angemessen
männlich,80+,Winterthur,Winterthur,gerade angemessen
weiblich,55 bis 59,<1000,Andelfingen,gerade angemessen
weiblich,18 bis 24,2001 bis 5000,Andelfingen,gerade angemessen
weiblich,75 bis 79,20001 bis 50000,Uster,gerade angemessen
weiblich,45 bis 49,1001 bis 2000,Bülach,gerade angemessen
männlich,70 bis 74,5001 bis 10000,Affoltern,eher zu hoch
männlich,45 bis 49,<1000,Winterthur,eher zu hoch
männlich,50 bis 54,Winterthur,Winterthur,viel zu hoch
weiblich,50 bis 54,1001 bis 2000,Dielsdorf,eher zu hoch
männlich,65 bis 69,5001 bis 10000,Dietikon,viel zu hoch
männlich,18 bis 24,20001 bis 50000,Bülach,gerade angemessen
männlich,30 bis 34,Zürich,Zürich,gerade angemessen
weiblich,70 bis 74,Winterthur,Winterthur,gerade angemessen
männlich,40 bis 44,10001 bis 20000,Uster,eher zu hoch
männlich,45 bis 49,<1000,Andelfingen,viel zu hoch
weiblich,50 bis 54,10001 bis 20000,Hinwil,gerade angemessen
weiblich,30 bis 34,Winterthur,Winterthur,eher zu hoch
männlich,40 bis 44,<1000,Andelfingen,gerade angemessen
männlich,70 bis 74,Zürich,Zürich,eher zu hoch
weiblich,60 bis 64,<1000,Andelfingen,viel zu hoch
weiblich,80+,Zürich,Zürich,gerade angemessen
männlich,70 bis 74,<1000,Dielsdorf,eher zu hoch
männlich,40 bis 44,10001 bis 20000,Hinwil,eher zu hoch
weiblich,60 bis 64,Zürich,Zürich,gerade angemessen
weiblich,25 bis 29,Winterthur,Winterthur,eher zu hoch
männlich,50 bis 54,10001 bis 20000,Bülach,gerade angemessen
weiblich,70 bis 74,5001 bis 10000,Meilen,eher zu tief
weiblich,35 bis 39,Zürich,Zürich,gerade angemessen
männlich,65 bis 69,10001 bis 20000,Bülach,gerade angemessen
männlich,40 bis 44,5001 bis 10000,Dielsdorf,viel zu hoch
männlich,75 bis 79,2001 bis 5000,Bülach,gerade angemessen
weiblich,25 bis 29,20001 bis 50000,Bülach,gerade angemessen
männlich,60 bis 64,<1000,Andelfingen,gerade angemessen
weiblich,40 bis 44,<1000,Dielsdorf,viel zu hoch
weiblich,80+,2001 bis 5000,Pfäffikon,gerade angemessen
männlich,70 bis 74,5001 bis 10000,Meilen,eher zu hoch
weiblich,30 bis 34,2001 bis 5000,Pfäffikon,gerade angemessen
weiblich,18 bis 24,2001 bis 5000,Bülach,eher zu hoch
männlich,45 bis 49,5001 bis 10000,Affoltern,gerade angemessen
männlich,60 bis 64,10001 bis 20000,Affoltern,eher zu hoch
männlich,45 bis 49,1001 bis 2000,Affoltern,gerade angemessen
weiblich,40 bis 44,1001 bis 2000,Andelfingen,eher zu hoch
männlich,40 bis 44,Winterthur,Winterthur,gerade angemessen
männlich,50 bis 54,<1000,Andelfingen,gerade angemessen
männlich,50 bis 54,Winterthur,Winterthur,gerade angemessen
weiblich,45 bis 49,<1000,Winterthur,eher zu hoch
männlich,55 bis 59,20001 bis 50000,Uster,viel zu hoch
männlich,55 bis 59,5001 bis 10000,Dielsdorf,gerade angemessen
männlich,65 bis 69,Zürich,Zürich,viel zu hoch
weiblich,55 bis 59,Winterthur,Winterthur,eher zu hoch
männlich,35 bis 39,<1000,Winterthur,viel zu hoch
männlich,65 bis 69,2001 bis 5000,Andelfingen,eher zu hoch
weiblich,18 bis 24,Zürich,Zürich,eher zu hoch
männlich,60 bis 64,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,75 bis 79,20001 bis 50000,Hinwil,gerade angemessen
männlich,80+,5001 bis 10000,Pfäffikon,gerade angemessen
weiblich,60 bis 64,Winterthur,Winterthur,gerade angemessen
männlich,80+,2001 bis 5000,Andelfingen,eher zu hoch
männlich,65 bis 69,<1000,Winterthur,eher zu hoch
männlich,40 bis 44,10001 bis 20000,Horgen,gerade angemessen
männlich,75 bis 79,1001 bis 2000,Affoltern,gerade angemessen
männlich,65 bis 69,Winterthur,Winterthur,viel zu hoch
weiblich,40 bis 44,Zürich,Zürich,viel zu hoch
männlich,60 bis 64,10001 bis 20000,Bülach,viel zu hoch
männlich,25 bis 29,Zürich,Zürich,gerade angemessen
männlich,35 bis 39,10001 bis 20000,Hinwil,eher zu hoch
männlich,35 bis 39,5001 bis 10000,Meilen,gerade angemessen
männlich,45 bis 49,Zürich,Zürich,eher zu hoch
weiblich,55 bis 59,2001 bis 5000,Andelfingen,eher zu hoch
weiblich,65 bis 69,1001 bis 2000,Winterthur,gerade angemessen
weiblich,30 bis 34,Winterthur,Winterthur,gerade angemessen
männlich,65 bis 69,<1000,Winterthur,eher zu hoch
weiblich,40 bis 44,Zürich,Zürich,eher zu hoch
männlich,80+,<1000,Winterthur,eher zu hoch
männlich,40 bis 44,1001 bis 2000,Andelfingen,gerade angemessen
männlich,65 bis 69,2001 bis 5000,Affoltern,eher zu hoch
männlich,60 bis 64,10001 bis 20000,Meilen,gerade angemessen
männlich,65 bis 69,Winterthur,Winterthur,gerade angemessen
männlich,60 bis 64,20001 bis 50000,Hinwil,gerade angemessen
weiblich,65 bis 69,10001 bis 20000,Bülach,gerade angemessen
männlich,60 bis 64,1001 bis 2000,Dielsdorf,gerade angemessen
männlich,80+,5001 bis 10000,Bülach,eher zu hoch
weiblich,65 bis 69,20001 bis 50000,Horgen,eher zu hoch
männlich,60 bis 64,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,35 bis 39,Zürich,Zürich,gerade angemessen
weiblich,70 bis 74,10001 bis 20000,Uster,eher zu hoch
weiblich,35 bis 39,<1000,Pfäffikon,gerade angemessen
weiblich,45 bis 49,2001 bis 5000,Affoltern,gerade angemessen
männlich,65 bis 69,2001 bis 5000,Bülach,gerade angemessen
männlich,18 bis 24,1001 bis 2000,Dielsdorf,gerade angemessen
weiblich,45 bis 49,Zürich,Zürich,eher zu hoch
männlich,50 bis 54,2001 bis 5000,Bülach,gerade angemessen
männlich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
männlich,55 bis 59,10001 bis 20000,Hinwil,eher zu hoch
weiblich,75 bis 79,2001 bis 5000,Pfäffikon,gerade angemessen
männlich,35 bis 39,Zürich,Zürich,gerade angemessen
männlich,75 bis 79,1001 bis 2000,Dielsdorf,gerade angemessen
weiblich,45 bis 49,10001 bis 20000,Horgen,eher zu hoch
männlich,55 bis 59,<1000,Andelfingen,viel zu hoch
männlich,60 bis 64,1001 bis 2000,Dielsdorf,eher zu hoch
weiblich,25 bis 29,5001 bis 10000,Bülach,eher zu hoch
weiblich,40 bis 44,20001 bis 50000,Horgen,gerade angemessen
weiblich,50 bis 54,<1000,Dielsdorf,eher zu hoch
männlich,45 bis 49,5001 bis 10000,Pfäffikon,eher zu hoch
männlich,75 bis 79,Zürich,Zürich,gerade angemessen
weiblich,55 bis 59,2001 bis 5000,Dietikon,gerade angemessen
weiblich,35 bis 39,5001 bis 10000,Meilen,gerade angemessen
weiblich,18 bis 24,2001 bis 5000,Dielsdorf,gerade angemessen
weiblich,75 bis 79,20001 bis 50000,Dietikon,viel zu hoch
weiblich,50 bis 54,10001 bis 20000,Hinwil,gerade angemessen
weiblich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
männlich,70 bis 74,5001 bis 10000,Uster,gerade angemessen
weiblich,80+,<1000,Dielsdorf,gerade angemessen
weiblich,60 bis 64,Zürich,Zürich,gerade angemessen
weiblich,70 bis 74,5001 bis 10000,Pfäffikon,eher zu hoch
weiblich,25 bis 29,Zürich,Zürich,eher zu hoch
männlich,30 bis 34,Zürich,Zürich,eher zu hoch
männlich,55 bis 59,Winterthur,Winterthur,gerade angemessen
männlich,65 bis 69,Zürich,Zürich,eher zu hoch
männlich,25 bis 29,5001 bis 10000,Hinwil,eher zu hoch
weiblich,30 bis 34,10001 bis 20000,Uster,gerade angemessen
männlich,60 bis 64,<1000,Andelfingen,gerade angemessen
weiblich,25 bis 29,20001 bis 50000,Uster,gerade angemessen
männlich,55 bis 59,Winterthur,Winterthur,eher zu hoch
weiblich,65 bis 69,2001 bis 5000,Dielsdorf,eher zu hoch
weiblich,80+,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,45 bis 49,<1000,Dielsdorf,eher zu hoch
weiblich,55 bis 59,<1000,Dielsdorf,eher zu hoch
weiblich,70 bis 74,2001 bis 5000,Dietikon,eher zu hoch
weiblich,70 bis 74,20001 bis 50000,Horgen,gerade angemessen
weiblich,35 bis 39,5001 bis 10000,Horgen,gerade angemessen
weiblich,80+,Winterthur,Winterthur,gerade angemessen
weiblich,75 bis 79,10001 bis 20000,Bülach,eher zu hoch
weiblich,60 bis 64,20001 bis 50000,Dietikon,eher zu hoch
männlich,60 bis 64,<1000,Bülach,eher zu hoch
weiblich,30 bis 34,<1000,Andelfingen,gerade angemessen
weiblich,45 bis 49,5001 bis 10000,Hinwil,gerade angemessen
weiblich,70 bis 74,Winterthur,Winterthur,viel zu hoch
männlich,55 bis 59,<1000,Andelfingen,eher zu hoch
weiblich,30 bis 34,Winterthur,Winterthur,eher zu hoch
weiblich,80+,20001 bis 50000,Hinwil,gerade angemessen
männlich,35 bis 39,2001 bis 5000,Dietikon,gerade angemessen
männlich,60 bis 64,5001 bis 10000,Bülach,gerade angemessen
weiblich,65 bis 69,1001 bis 2000,Winterthur,eher zu hoch
weiblich,35 bis 39,Zürich,Zürich,gerade angemessen
männlich,75 bis 79,Zürich,Zürich,eher zu hoch
weiblich,75 bis 79,5001 bis 10000,Dietikon,eher zu hoch
männlich,65 bis 69,10001 bis 20000,Meilen,gerade angemessen
weiblich,45 bis 49,5001 bis 10000,Winterthur,gerade angemessen
weiblich,65 bis 69,1001 bis 2000,Affoltern,viel zu hoch
männlich,18 bis 24,Winterthur,Winterthur,gerade angemessen
weiblich,55 bis 59,1001 bis 2000,Dielsdorf,eher zu hoch
weiblich,30 bis 34,Zürich,Zürich,eher zu hoch
weiblich,40 bis 44,20001 bis 50000,Uster,gerade angemessen
männlich,70 bis 74,<1000,Pfäffikon,eher zu hoch
weiblich,65 bis 69,5001 bis 10000,Affoltern,gerade angemessen
männlich,70 bis 74,5001 bis 10000,Bülach,gerade angemessen
weiblich,45 bis 49,5001 bis 10000,Winterthur,viel zu hoch
männlich,30 bis 34,2001 bis 5000,Affoltern,gerade angemessen
männlich,30 bis 34,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,30 bis 34,Winterthur,Winterthur,viel zu hoch
männlich,40 bis 44,Winterthur,Winterthur,gerade angemessen
weiblich,35 bis 39,Zürich,Zürich,gerade angemessen
männlich,45 bis 49,Zürich,Zürich,eher zu hoch
männlich,60 bis 64,Zürich,Zürich,gerade angemessen
männlich,55 bis 59,10001 bis 20000,Dietikon,eher zu hoch
männlich,80+,20001 bis 50000,Uster,eher zu hoch
weiblich,75 bis 79,20001 bis 50000,Hinwil,gerade angemessen
männlich,35 bis 39,Zürich,Zürich,eher zu hoch
männlich,50 bis 54,Zürich,Zürich,eher zu hoch
männlich,45 bis 49,1001 bis 2000,Dielsdorf,gerade angemessen
weiblich,45 bis 49,<1000,Andelfingen,eher zu hoch
männlich,55 bis 59,5001 bis 10000,Winterthur,eher zu hoch
weiblich,75 bis 79,10001 bis 20000,Hinwil,eher zu hoch
weiblich,45 bis 49,2001 bis 5000,Pfäffikon,eher zu hoch
männlich,40 bis 44,2001 bis 5000,Uster,viel zu hoch
männlich,18 bis 24,5001 bis 10000,Winterthur,eher zu hoch
männlich,55 bis 59,2001 bis 5000,Affoltern,eher zu hoch
weiblich,35 bis 39,2001 bis 5000,Affoltern,eher zu hoch
weiblich,45 bis 49,Winterthur,Winterthur,viel zu hoch
männlich,50 bis 54,20001 bis 50000,Uster,eher zu hoch
weiblich,40 bis 44,Winterthur,Winterthur,gerade angemessen
weiblich,55 bis 59,5001 bis 10000,Dielsdorf,eher zu hoch
männlich,70 bis 74,5001 bis 10000,Affoltern,eher zu hoch
männlich,55 bis 59,10001 bis 20000,Hinwil,eher zu hoch
weiblich,75 bis 79,2001 bis 5000,Bülach,eher zu hoch
männlich,65 bis 69,Winterthur,Winterthur,eher zu hoch
weiblich,75 bis 79,2001 bis 5000,Winterthur,eher zu hoch
männlich,45 bis 49,<1000,Andelfingen,eher zu hoch
männlich,50 bis 54,2001 bis 5000,Winterthur,eher zu hoch
weiblich,45 bis 49,Zürich,Zürich,eher zu hoch
männlich,50 bis 54,Winterthur,Winterthur,eher zu hoch
männlich,18 bis 24,<1000,Andelfingen,gerade angemessen
weiblich,45 bis 49,10001 bis 20000,Hinwil,viel zu hoch
weiblich,45 bis 49,5001 bis 10000,Meilen,gerade angemessen
weiblich,80+,10001 bis 20000,Meilen,gerade angemessen
weiblich,50 bis 54,10001 bis 20000,Dielsdorf,gerade angemessen
männlich,70 bis 74,Winterthur,Winterthur,eher zu hoch
weiblich,50 bis 54,10001 bis 20000,Hinwil,eher zu hoch
weiblich,50 bis 54,2001 bis 5000,Dielsdorf,gerade angemessen
weiblich,80+,Zürich,Zürich,eher zu hoch
weiblich,50 bis 54,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,65 bis 69,10001 bis 20000,Pfäffikon,gerade angemessen
männlich,40 bis 44,1001 bis 2000,Bülach,eher zu hoch
männlich,70 bis 74,<1000,Affoltern,viel zu hoch
männlich,65 bis 69,1001 bis 2000,Dielsdorf,gerade angemessen
männlich,50 bis 54,<1000,Andelfingen,viel zu hoch
weiblich,75 bis 79,Winterthur,Winterthur,gerade angemessen
weiblich,25 bis 29,Winterthur,Winterthur,viel zu hoch
weiblich,18 bis 24,2001 bis 5000,Affoltern,gerade angemessen
weiblich,75 bis 79,Winterthur,Winterthur,gerade angemessen
weiblich,50 bis 54,2001 bis 5000,Dietikon,gerade angemessen
männlich,80+,2001 bis 5000,Pfäffikon,gerade angemessen
weiblich,55 bis 59,1001 bis 2000,Dielsdorf,eher zu hoch
weiblich,35 bis 39,5001 bis 10000,Uster,gerade angemessen
weiblich,60 bis 64,Winterthur,Winterthur,gerade angemessen
weiblich,45 bis 49,10001 bis 20000,Meilen,gerade angemessen
weiblich,25 bis 29,Winterthur,Winterthur,viel zu hoch
weiblich,35 bis 39,Winterthur,Winterthur,eher zu hoch
weiblich,70 bis 74,<1000,Winterthur,eher zu hoch
männlich,40 bis 44,20001 bis 50000,Bülach,viel zu hoch
weiblich,55 bis 59,10001 bis 20000,Pfäffikon,eher zu hoch
männlich,65 bis 69,1001 bis 2000,Affoltern,viel zu hoch
männlich,25 bis 29,Winterthur,Winterthur,gerade angemessen
weiblich,80+,<1000,Affoltern,gerade angemessen
weiblich,35 bis 39,1001 bis 2000,Andelfingen,eher zu hoch
männlich,70 bis 74,1001 bis 2000,Bülach,gerade angemessen
männlich,55 bis 59,1001 bis 2000,Andelfingen,eher zu hoch
männlich,25 bis 29,<1000,Dielsdorf,viel zu hoch
männlich,70 bis 74,<1000,Winterthur,gerade angemessen
weiblich,50 bis 54,<1000,Andelfingen,gerade angemessen
weiblich,55 bis 59,5001 bis 10000,Dietikon,eher zu hoch
weiblich,18 bis 24,10001 bis 20000,Dielsdorf,viel zu hoch
männlich,65 bis 69,10001 bis 20000,Hinwil,gerade angemessen
männlich,60 bis 64,2001 bis 5000,Dietikon,gerade angemessen
weiblich,45 bis 49,10001 bis 20000,Meilen,gerade angemessen
männlich,75 bis 79,Zürich,Zürich,eher zu hoch
weiblich,40 bis 44,Zürich,Zürich,gerade angemessen
männlich,40 bis 44,<1000,Winterthur,gerade angemessen
weiblich,45 bis 49,Winterthur,Winterthur,eher zu hoch
weiblich,65 bis 69,Winterthur,Winterthur,eher zu hoch
weiblich,18 bis 24,20001 bis 50000,Horgen,eher zu hoch
weiblich,40 bis 44,1001 bis 2000,Andelfingen,eher zu hoch
weiblich,60 bis 64,Zürich,Zürich,gerade angemessen
weiblich,60 bis 64,5001 bis 10000,Pfäffikon,eher zu hoch
männlich,25 bis 29,2001 bis 5000,Winterthur,gerade angemessen
weiblich,25 bis 29,10001 bis 20000,Meilen,viel zu hoch
männlich,35 bis 39,Winterthur,Winterthur,eher zu hoch
weiblich,55 bis 59,Zürich,Zürich,eher zu hoch
männlich,45 bis 49,20001 bis 50000,Horgen,viel zu hoch
weiblich,45 bis 49,Zürich,Zürich,gerade angemessen
weiblich,50 bis 54,1001 bis 2000,Winterthur,gerade angemessen
männlich,18 bis 24,10001 bis 20000,Dielsdorf,eher zu hoch
männlich,35 bis 39,Winterthur,Winterthur,eher zu hoch
männlich,25 bis 29,20001 bis 50000,Bülach,eher zu hoch
männlich,50 bis 54,2001 bis 5000,Dielsdorf,gerade angemessen
weiblich,70 bis 74,Zürich,Zürich,eher zu hoch
männlich,75 bis 79,2001 bis 5000,Pfäffikon,eher zu hoch
weiblich,80+,10001 bis 20000,Pfäffikon,gerade angemessen
männlich,40 bis 44,Zürich,Zürich,eher zu hoch
männlich,55 bis 59,<1000,Bülach,eher zu hoch
weiblich,75 bis 79,20001 bis 50000,Uster,eher zu hoch
männlich,18 bis 24,10001 bis 20000,Dielsdorf,gerade angemessen
männlich,50 bis 54,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,40 bis 44,<1000,Winterthur,gerade angemessen
männlich,30 bis 34,Zürich,Zürich,eher zu hoch
männlich,35 bis 39,Zürich,Zürich,eher zu hoch
weiblich,25 bis 29,5001 bis 10000,Winterthur,eher zu hoch
männlich,55 bis 59,20001 bis 50000,Horgen,gerade angemessen
weiblich,70 bis 74,Winterthur,Winterthur,gerade angemessen
männlich,80+,10001 bis 20000,Dielsdorf,gerade angemessen
männlich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
männlich,40 bis 44,20001 bis 50000,Hinwil,viel zu hoch
weiblich,18 bis 24,Winterthur,Winterthur,viel zu hoch
weiblich,55 bis 59,5001 bis 10000,Uster,eher zu hoch
weiblich,80+,Zürich,Zürich,eher zu hoch
männlich,40 bis 44,2001 bis 5000,Bülach,gerade angemessen
männlich,50 bis 54,10001 bis 20000,Pfäffikon,eher zu hoch
weiblich,35 bis 39,Zürich,Zürich,eher zu hoch
männlich,75 bis 79,5001 bis 10000,Uster,gerade angemessen
weiblich,70 bis 74,2001 bis 5000,Andelfingen,gerade angemessen
männlich,80+,5001 bis 10000,Winterthur,gerade angemessen
männlich,65 bis 69,<1000,Winterthur,gerade angemessen
weiblich,45 bis 49,<1000,Andelfingen,gerade angemessen
männlich,75 bis 79,Winterthur,Winterthur,eher zu hoch
männlich,45 bis 49,Zürich,Zürich,gerade angemessen
weiblich,35 bis 39,20001 bis 50000,Uster,viel zu hoch
weiblich,65 bis 69,Zürich,Zürich,eher zu hoch
männlich,50 bis 54,<1000,Dielsdorf,eher zu hoch
weiblich,45 bis 49,20001 bis 50000,Horgen,gerade angemessen
männlich,65 bis 69,Zürich,Zürich,gerade angemessen
weiblich,75 bis 79,5001 bis 10000,Dietikon,eher zu hoch
männlich,25 bis 29,Zürich,Zürich,eher zu hoch
weiblich,50 bis 54,Zürich,Zürich,eher zu hoch
männlich,70 bis 74,2001 bis 5000,Affoltern,eher zu hoch
weiblich,70 bis 74,1001 bis 2000,Affoltern,eher zu hoch
männlich,80+,5001 bis 10000,Uster,gerade angemessen
männlich,40 bis 44,20001 bis 50000,Uster,eher zu hoch
weiblich,60 bis 64,Zürich,Zürich,eher zu hoch
männlich,75 bis 79,10001 bis 20000,Pfäffikon,gerade angemessen
männlich,35 bis 39,5001 bis 10000,Hinwil,viel zu hoch
männlich,45 bis 49,20001 bis 50000,Uster,gerade angemessen
weiblich,60 bis 64,2001 bis 5000,Bülach,eher zu hoch
männlich,45 bis 49,<1000,Andelfingen,eher zu hoch
männlich,18 bis 24,<1000,Winterthur,eher zu hoch
männlich,55 bis 59,<1000,Dielsdorf,eher zu hoch
weiblich,65 bis 69,1001 bis 2000,Dielsdorf,gerade angemessen
männlich,70 bis 74,2001 bis 5000,Bülach,eher zu hoch
männlich,35 bis 39,Zürich,Zürich,eher zu hoch
männlich,18 bis 24,Winterthur,Winterthur,gerade angemessen
weiblich,18 bis 24,<1000,Winterthur,gerade angemessen
männlich,35 bis 39,20001 bis 50000,Hinwil,eher zu hoch
weiblich,60 bis 64,Zürich,Zürich,eher zu hoch
männlich,50 bis 54,10001 bis 20000,Bülach,gerade angemessen
männlich,60 bis 64,20001 bis 50000,Uster,gerade angemessen
männlich,55 bis 59,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,40 bis 44,1001 bis 2000,Bülach,gerade angemessen
männlich,25 bis 29,<1000,Andelfingen,viel zu hoch
männlich,65 bis 69,5001 bis 10000,Uster,gerade angemessen
weiblich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
weiblich,18 bis 24,2001 bis 5000,Dielsdorf,gerade angemessen
weiblich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
weiblich,35 bis 39,10001 bis 20000,Horgen,viel zu hoch
weiblich,50 bis 54,Winterthur,Winterthur,gerade angemessen
weiblich,60 bis 64,<1000,Andelfingen,viel zu hoch
weiblich,45 bis 49,20001 bis 50000,Bülach,eher zu hoch
weiblich,30 bis 34,Zürich,Zürich,gerade angemessen
männlich,60 bis 64,10001 bis 20000,Hinwil,eher zu hoch
weiblich,25 bis 29,20001 bis 50000,Bülach,eher zu hoch
männlich,55 bis 59,20001 bis 50000,Bülach,viel zu hoch
weiblich,30 bis 34,10001 bis 20000,Pfäffikon,eher zu hoch
weiblich,70 bis 74,20001 bis 50000,Horgen,eher zu hoch
männlich,55 bis 59,2001 bis 5000,Bülach,gerade angemessen
weiblich,75 bis 79,Zürich,Zürich,gerade angemessen
weiblich,35 bis 39,<1000,Dielsdorf,eher zu hoch
weiblich,25 bis 29,<1000,Winterthur,viel zu hoch
weiblich,40 bis 44,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,25 bis 29,10001 bis 20000,Uster,gerade angemessen
männlich,65 bis 69,<1000,Andelfingen,gerade angemessen
männlich,30 bis 34,Zürich,Zürich,eher zu hoch
weiblich,50 bis 54,10001 bis 20000,Bülach,eher zu hoch
männlich,80+,<1000,Winterthur,viel zu hoch
weiblich,25 bis 29,20001 bis 50000,Hinwil,eher zu hoch
männlich,45 bis 49,2001 bis 5000,Pfäffikon,eher zu hoch
weiblich,60 bis 64,1001 bis 2000,Bülach,viel zu hoch
männlich,60 bis 64,2001 bis 5000,Hinwil,eher zu hoch
weiblich,45 bis 49,<1000,Andelfingen,gerade angemessen
weiblich,30 bis 34,<1000,Winterthur,eher zu hoch
männlich,65 bis 69,Zürich,Zürich,gerade angemessen
weiblich,55 bis 59,1001 bis 2000,Bülach,viel zu hoch
weiblich,75 bis 79,<1000,Andelfingen,gerade angemessen
männlich,35 bis 39,Winterthur,Winterthur,eher zu hoch
weiblich,25 bis 29,2001 bis 5000,Andelfingen,gerade angemessen
männlich,55 bis 59,10001 bis 20000,Meilen,viel zu hoch
weiblich,30 bis 34,1001 bis 2000,Dielsdorf,gerade angemessen
weiblich,18 bis 24,Zürich,Zürich,eher zu hoch
männlich,45 bis 49,1001 bis 2000,Pfäffikon,viel zu hoch
weiblich,70 bis 74,2001 bis 5000,Uster,gerade angemessen
weiblich,25 bis 29,5001 bis 10000,Horgen,gerade angemessen
weiblich,80+,2001 bis 5000,Dielsdorf,eher zu hoch
männlich,65 bis 69,<1000,Andelfingen,eher zu hoch
weiblich,60 bis 64,10001 bis 20000,Pfäffikon,eher zu hoch
weiblich,70 bis 74,2001 bis 5000,Dielsdorf,eher zu hoch
männlich,40 bis 44,10001 bis 20000,Affoltern,viel zu hoch
männlich,40 bis 44,10001 bis 20000,Bülach,viel zu hoch
männlich,75 bis 79,Zürich,Zürich,eher zu hoch
weiblich,30 bis 34,20001 bis 50000,Uster,viel zu hoch
männlich,75 bis 79,2001 bis 5000,Winterthur,gerade angemessen
männlich,70 bis 74,10001 bis 20000,Meilen,gerade angemessen
männlich,50 bis 54,1001 bis 2000,Hinwil,viel zu hoch
männlich,55 bis 59,2001 bis 5000,Hinwil,eher zu hoch
männlich,30 bis 34,10001 bis 20000,Bülach,gerade angemessen
männlich,30 bis 34,20001 bis 50000,Bülach,viel zu hoch
männlich,30 bis 34,1001 bis 2000,Andelfingen,gerade angemessen
weiblich,55 bis 59,5001 bis 10000,Affoltern,eher zu tief
männlich,45 bis 49,Zürich,Zürich,gerade angemessen
männlich,25 bis 29,Zürich,Zürich,gerade angemessen
männlich,60 bis 64,Winterthur,Winterthur,eher zu hoch
weiblich,50 bis 54,10001 bis 20000,Horgen,gerade angemessen
weiblich,55 bis 59,Winterthur,Winterthur,eher zu hoch
männlich,40 bis 44,Winterthur,Winterthur,gerade angemessen
männlich,70 bis 74,20001 bis 50000,Uster,eher zu hoch
weiblich,50 bis 54,5001 bis 10000,Meilen,eher zu hoch
weiblich,70 bis 74,Zürich,Zürich,gerade angemessen
weiblich,25 bis 29,2001 bis 5000,Andelfingen,viel zu hoch
männlich,65 bis 69,Winterthur,Winterthur,eher zu hoch
